SortedOrder,probe,associate,associate (continued),R1,R1,R2,R3,Screened_for_Analysis_seeTab2,Meaning_R1,Meaning_BestGuess_R1,R2,Meaning_R2,Meaning_BestGuess_R2,R3,Meaning_R3,Meaning_BestGuess_R3,Comment_R1,Comment_R2,Comment_R3,Integrated_Comments_By_CR,R1_R2_R3_CertainAgreement,R1_R2_R3_Certain_orUndertainAgreement,DominantMeaning_Certain_or_Guess,
1,affect,bother,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
2,affect,cause,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
3,affect,change,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
4,affect,defect,,lew,lew,kt,aml,1,1,1,kt,?2,2,aml,1,1,,,,,0,0,1,
5,affect,effect,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
6,affect,effort,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
7,affect,emotion,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
8,affect,feeling,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
9,affect,harm,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
10,affect,hurt,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
11,affect,impact,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
12,affect,influence,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
13,affect,plug,,lew,lew,kt,aml,1,?1,1,kt,?1,1,aml,1,1,,,,,0,1,1,
14,affect,response,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
15,affect,result,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
16,affect,touch,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
17,alley,back,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
18,alley,black,,lew,lew,kt,aml,1,?2,2,kt,1,1,aml,1,1,,,,,0,0,1,
19,alley,bowling,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
20,alley,building,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
21,alley,can,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
22,alley,cat,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
23,alley,corridor,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
24,alley,dark,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
25,alley,garbage,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
26,alley,hall,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
27,alley,lane,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
28,alley,mug,,lew,lew,kt,aml,1,1,1,kt,-,-,aml,1,1,,Association not clear,,Association not clear,0,0,1,
29,alley,new york,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
30,alley,road,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
31,alley,street,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
32,alley,trash,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
33,alley,walk,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
34,alley,way,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
35,angle,bend,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
36,angle,corner,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
37,angle,curve,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
38,angle,degree,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
39,angle,degree,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
40,angle,degree,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
41,angle,geometry,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
42,angle,line,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
43,angle,math,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
44,angle,obtuse,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
