SortedOrder,probe,associate,associate (continued),probe_cp,assoc_cp,cleanprobeassoc,Meaning_model,LargestCos,SecondLargestCos,CosDiff,R1,R1,R2,R3,Screened_for_Analysis_HumanCrit_SeeTab2,ScreenedForAlgoAnalysis,Meaning_R1,Meaning_BestGuess_R1,R2,Meaning_R2,Meaning_BestGuess_R2,R3,Meaning_R3,Meaning_BestGuess_R3,Comment_R1,Comment_R2,Comment_R3,Integrated_Comments_By_CR,R1_R2_R3_CertainAgreement,R1_R2_R3_Certain_orUndertainAgreement,DominantMeaning_Certain_or_Guess,BLANK,ALGO_HumanDominantMeaning_Agreement
1,affect,bother,,affect,bother,affect bother,2,0.282,0.234,0.047,lew,lew,kt,aml,1,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,,0
18,alley,black,,alley,black,alley black,2,0.473,0.379,0.094,lew,lew,kt,aml,1,1,?2,2,kt,1,1,aml,1,1,,,,,0,0,1,,0
22,alley,cat,,alley,cat,alley cat,2,0.254,0.196,0.058,lew,lew,kt,aml,1,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,,0
28,alley,mug,,alley,mug,alley mug,2,0.074,-0.043,0.117,lew,lew,kt,aml,1,1,1,1,kt,-,-,aml,1,1,,Association not clear,,Association not clear,0,0,1,,0
42,angle,line,,angle,line,angle line,2,0.638,0.525,0.114,lew,lew,kt,aml,1,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,,0
56,arm,turf,,arm,turf,arm turf,1,0.19,0.131,0.059,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,1,1,,,,,0,0,2,,0
59,ash,cigar,,ash,cigar,ash cigar,2,0.12,0.051,0.069,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
60,ash,cigarette,,ash,cigarette,ash cigarette,2,0.179,0.177,0.002,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
64,ash,fire,,ash,fire,ash fire,2,0.358,0.25,0.108,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
65,ash,smoke,,ash,smoke,ash smoke,2,0.326,0.272,0.054,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
71,ban,away,,ban,away,ban away,2,0.383,0.302,0.081,kt,kt,lew,aml,1,1,?1,1,lew,1,1,aml,1,1,,,,,0,1,1,,0
72,ban,block,,ban,block,ban block,2,0.318,0.313,0.005,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
73,ban,books,,ban,books,ban books,2,0.348,0.263,0.085,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
85,ban,roll on,,ban,roll on,ban roll,2,0.179,0.159,0.021,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
96,band,noise,,band,noise,band noise,2,0.238,0.218,0.02,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
855,band,wagon,,band,wagon,band wagon,2,0.081,0.029,0.052,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,?2,2,,,,,0,0,1,,0
102,bang,big,,bang,big,bang big,2,0.493,0.491,0.001,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
106,bang,dead,,bang,dead,bang dead,2,0.304,0.291,0.013,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
124,bank,vault,,bank,vault,bank vault,1,0.175,0.115,0.061,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
127,banker,boring,,banker,boring,banker boring,3,0.202,0.13,0.072,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
21,alley,can,,alley,can,alley,0,-2,-3,1,lew,lew,kt,aml,1,,1,1,kt,1,1,aml,1,1,,,,,1,1,1,,0
131,banker,rich,,banker,rich,banker rich,2,0.308,0.258,0.05,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
167,base,stolen,,base,stolen,base stolen,1,0.24,0.164,0.076,kt,kt,lew,aml,1,1,2,2,lew,1,1,aml,2,2,,,,,0,0,2,,0
101,bass,shoes,,bass,shoes,bass shoes,2,0.231,0.22,0.011,kt,kt,lew,aml,1,1,?1,1,lew,?1,1,aml,?1,1,,,,,1,1,1,,0
191,bat,bite,,bat,bite,bat bite,3,0.303,0.265,0.037,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
193,bat,blind,,bat,blind,bat blind,3,0.295,0.291,0.003,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
199,bat,rabies,,bat,rabies,bat rabies,3,0.091,-0.012,0.102,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
205,bay,front,,bay,front,bay front,2,0.515,0.444,0.071,kt,kt,lew,aml,1,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,,0
225,bear,cub,,bear,cub,bear cub,1,0.067,0.055,0.012,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
232,bear,honey,,bear,honey,bear honey,1,0.159,0.155,0.004,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
233,bear,hug,,bear,hug,bear hug,1,0.161,0.061,0.1,kt,kt,lew,aml,1,1,1,1,lew,2,2,aml,2,2,,,,,0,0,2,,0
237,bear,mean,,bear,mean,bear mean,1,0.594,0.57,0.024,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
239,bear,paw,,bear,paw,bear paw,1,-0.001,-0.045,0.044,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
241,bear,teddy,bear,bear,teddy bear,bear teddy bear,1,0.07,0.046,0.024,kt,kt,lew,aml,1,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,,0
