,word,eDom,algorithm.FAN,human.FAN,algorithm.SUBTL,wikipedia
1,affect,76,90,100,96,100
2,alley,98,80,100,68,82
3,angle,79,89,100,94,100
4,arm,71,100,98,77,62
5,ash,87,55,98,62,72
6,ban,85,63,100,62,76
7,band,60,92,97,67,98
8,bang,66,93,100,65,96
9,bank,78,98,100,73,74
10,banker,92,91,97,74,95
11,bar,94,100,100,89,100
12,bark,63,77,77,79,70
13,base,86,96,93,86,100
14,bass,59,44,58,78,98
15,bat,52,52,66,63,64
16,bay,82,96,97,78,83
17,bear,72,74,95,76,69
18,beaver,96,100,100,94,100
19,beetle,83,81,81,60,96
20,bent,93,72,100,93,95
21,blaze,85,96,96,92,87
22,blow,62,83,92,90,94
23,bluff,84,81,86,99,52
24,boil,77,100,100,90,98
25,bolt,89,100,100,97,100
26,boom,82,78,100,52,81
27,boring,86,55,100,77,100
28,bound,41,51,85,44,59
29,bow,54,84,82,55,48
30,bowl,67,70,70,73,96
31,box,63,84,94,68,96
32,boxing,88,48,94,52,82
33,brake,96,98,100,70,95
34,bride,97,100,100,77,96
35,bridge,82,96,96,81,99
36,brook,94,96,96,78,100
37,brush,71,98,100,92,87
38,buck,68,65,62,83,77
39,bud,63,100,53,65,89
40,buggy,79,89,100,89,100
41,bull,95,100,100,89,98
42,bully,96,80,98,87,99
43,burden,90,96,100,85,97
44,bus,78,100,100,81,100
45,bush,87,88,86,72,86
46,butt,65,39,88,60,83
47,cab,97,100,100,86,99
48,calf,64,81,81,80,79
49,camp,90,83,95,73,99
50,cap,80,100,100,94,100
51,cape,72,63,86,82,93
52,capital,91,94,100,92,100
53,card,91,100,100,92,100
54,cashier,98,89,96,62,64
55,cat,92,100,100,89,99
56,chase,86,96,86,78,99
57,chess,96,92,100,94,100
58,chip,75,97,100,65,93
59,chop,82,86,100,88,100
60,chuck,71,58,54,50,93
61,clock,96,92,100,89,100
62,cocktail,95,95,100,59,54
63,coma,95,94,92,53,83
64,compact,83,100,100,90,100
65,compound,66,85,94,92,96
66,console,71,50,56,58,96
67,content,66,66,66,59,99
68,cop,87,82,91,53,77
69,corn,89,55,98,57,87
70,corporal,87,69,69,77,76
71,count,87,81,86,92,99
72,counter,60,88,87,60,72
73,cow,96,93,100,55,97
74,crab,71,98,91,87,99
75,cramp,66,75,96,79,83
76,crash,96,100,100,98,100
77,cricket,68,68,89,80,99
78,cube,96,94,98,90,99
79,cue,67,73,52,71,53
80,cuff,86,60,98,87,83
81,dam,89,76,96,80,96
82,dent,95,94,98,95,100
83,desert,59,96,96,49,85
84,diet,92,93,98,88,96
85,dock,78,98,100,68,95
86,dove,67,97,82,87,97
87,dresser,80,90,100,75,94
88,drill,85,94,100,83,99
89,drove,83,90,87,89,93
90,duck,59,92,97,76,60
91,ear,81,51,100,83,88
92,egg,85,83,100,91,100
93,entrance,83,96,100,90,100
94,fair,70,81,71,69,54
95,fan,56,98,88,82,98
96,fell,82,45,98,59,79
97,file,64,82,82,91,99
98,firm,58,76,76,59,96
99,fit,69,95,95,93,99
100,flag,83,95,100,72,99
101,flat,77,80,90,86,97
102,fleet,79,95,87,61,99
103,flight,83,100,93,92,100
104,flip,81,76,97,88,100
105,flush,59,86,96,51,79
106,fly,59,69,75,87,88
107,foil,71,93,94,63,47
108,fold,88,98,100,85,94
109,frail,92,62,100,82,93
110,freak,97,73,100,85,100
111,frog,98,80,94,83,98
112,fry,88,97,100,81,72
113,fudge,73,93,100,54,55
114,gag,79,51,55,76,92
115,gang,95,94,100,85,100
116,gin,75,92,92,66,74
117,glare,74,98,98,84,81
118,grate,75,85,94,56,86
119,grave,56,85,90,74,91
120,ground,74,78,89,93,100
121,gull,83,97,100,80,100
