Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest	Twilleyp1	Twilleyp2	Twilleyp3	U
angle	5	2.882	2	1.55	11254.00	4	2	620.941	34	0.97	0.693326235	1	78.70588235	0.19	0.03	0.01	0.37
arm	3	3.523	5	1.45	3548.00	3	1	671.857	35	1	0.534452813	1	70.6875	0.46	0.03		0.31
band	4	3.435	14	1	6022.00	4	1	653.412	34	1	0.269770778	1	59.72222222	0.31	0.14	0.01	0.92
bank	4	3.637	16	1.05	4546.00	4	1	561.25	32	0.97	0.676402471	0.058823529	77.64705882	0.54			0
bar	3	3.642	15	1	3742.00	3	1	572.97	33	0.97	0.921047286	0.928571429	93.85714286	0.29	0.03		0.39
bark	4	2.449	14	1.2	4012.00	4	1	637.824	34	0.97	0.35291	0.933333333	63	0.61	0.26		0.85
base	4	3.257	14	1	4260.00	3	1	540.813	32	0.97	0.789535056	1	85.72222222	0.32	0.07	0.06	1.58
bass	4	2.587	14	1.1	3800.00	3	1	612.613	31	0.97	0.315885056	0.666666667	58.83333333	0.13	0.09	0.16	1.37
bat	3	3.022	19	1	4958.00	3	1	583.706	34	1	0.295674667	0.8	52	0.39	0.07	0.04	1.19
bay	3	3.092	19	1	1200.00	2	1	706.176	34	1	0.733660824	1	82.35294118	0.16	0.13	0.07	1.61
bear	4	3.467	19	1	5638.00	3	1	565.765	34	1	0.540758353	0.352941176	72.11764706	0.08	0.01		0.05
bent	4	2.567	17	1	7692.00	4	1	605.727	33	1	0.915715882	1	92.94117647	0.18	0.05		0.76
blow	4	3.697	8	1.35	3335.00	3	1	619.118	34	1	0.323113357	0.428571429	62.5	0.16	0.11	0.04	1.45
bluff	5	2.502	1	1.85	2289.00	4	1	697.706	34	1	0.757417938	0.0625	84.1875	0.16	0.03	0.02	0.67
boil	4	2.483	7	1.5	2546.00	3	1	625.8	35	1	0.65514125	1	76.5625	0.45	0.01		0.29
bolt	4	2.547	11	1.4	2433.00	4	1	704.333	33	1	0.83383945	1	88.55	0.18	0.22	0.1	1.55
boom	4	3.047	10	1.3	2907.00	3	1	653.452	31	0.94	0.717446235	1	81.52941176	0.16	0.05	0.01	0.63
bound	5	2.974	7	1.5	6057.00	4	1	639.606	33	1	0.241176471	0.705882353	41.17647059	0.15	0.05	0.01	0.96
bow	3	3.015	18	1	1450.00	2	1	657.294	34	1	0.380111211	0.842105263	53.94736842	0.3	0.19	0.03	1.97
bowl	4	3.039	9	1.35	1535.00	3	1	602.03	33	0.94	0.464453667	0.944444444	66.61111111	0.11	0.05	0.02	0.96
box	3	3.661	10	1.4	860.00	4	1	697.029	34	1	0.430491533	0.933333333	63	0.12	0.01	0.01	0.38
bridge	6	3.368	2	1.75	5644.00	4	1	559.088	34	0.97	0.743553938	1	82.125	0.21	0.09	0.01	0.98
brush	5	2.859	3	1.7	4002.00	4	1	639.382	34	1	0.509176813	1	70.625	0.42	0.02		0.18
calf	4	2.182	3	1.85	4968.00	3	1	636.323	31	0.91	0.361765214	0.428571429	63.92857143	0.65	0.08		0.53
cap	3	2.981	18	1	2676.00	3	1	597.094	32	0.97	0.668362786	1	79.57142857	0.45	0.02	0.01	0.43
cape	4	2.624	14	1.1	4339.00	3	1	634.968	31	0.91	0.546789438	1	72.1875	0.16	0.23		0.99
capital	7	2.812	1	2.55	10615.00	6	3	625.281	32	0.97	0.858015118	1	90.88235294	0.35	0.06	0.07	1.49
card	4	3.639	12	1.15	5396.00	4	1	605.091	33	0.97	0.891800588	1	91.47058824	0.2	0.1	0.01	1.08
chip	4	3.022	8	1.35	3129.00	3	1	579.382	34	1	0.5720508	0.933333333	74.86666667	0.13	0.03	0.09	1.02
chop	4	2.842	7	1.45	3462.00	3	1	639.794	34	1	0.8202382	1	82	0.09	0.21	0.01	1.15
chuck	5	3.04	6	1.7	3193.00	3	1	731.71	31	0.91	0.621991857	0.928571429	70.64285714	0.17	0.14	0.03	2.08
clip	4	2.464	6	1.6	3853.00	4	1	613.229	35	1	0.340936125	0.5625	61.5625	0.3	0.07	0.02	1.07
compact	7	1.94	0	2.45	8269.00	7	2	614.853	34	1	0.783118125	1	83.4375	0.36	0.16	0.1	2.11
