Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest
affect	6	2.755	1	2.45	3647.00	5	2	666.938	32	0.97	0.574697875	1	76
affected	8	2.539	1	2.65	12527.00	7	3	748.387	31	0.91	0.649241765	1	79.70588235
alley	5	2.92	3	1.65	8333.00	3	2	644.333	30	0.88	0.979624	1	98.11764706
angle	5	2.882	2	1.55	11254.00	4	2	620.941	34	0.97	0.693326235	1	78.70588235
arch	4	2.277	1	1.8	4914.00	3	1	606.515	33	0.94	0.892593947	1	91.31578947
arm	3	3.523	5	1.45	3548.00	3	1	671.857	35	1	0.534452813	1	70.6875
ash	3	2.672	4	1.15	2747.00	2	1	623	36	1	0.8379338	0.933333333	86.8
bail	4	2.947	15	1.15	3128.00	3	1	686.355	31	0.94	0.459769222	0.944444444	65.55555556
ban	3	2.207	17	1	4260.00	3	1	675.267	30	0.97	0.751068385	1	85.38461538
band	4	3.435	14	1	6022.00	4	1	653.412	34	1	0.269770778	1	59.72222222
bang	4	3.009	13	1.2	8179.00	3	1	633.029	35	1	0.434932556	1	66.33333333
bank	4	3.637	16	1.05	4546.00	4	1	561.25	32	0.97	0.676402471	0.058823529	77.64705882
banker	6	2.387	10	1.4	11606.00	5	2	609.857	35	1	0.9251962	1	92.26666667
bar	3	3.642	15	1	3742.00	3	1	572.97	33	0.97	0.921047286	0.928571429	93.85714286
bark	4	2.449	14	1.2	4012.00	4	1	637.824	34	0.97	0.35291	0.933333333	63
barker	6	2.176	6	1.65	11072.00	5	2	692.536	28	0.85	0.849783938	0.875	88.8125
barrow	6	1.792	6	1.65	7149.00	4	2	719.391	23	0.74	0.790444929	0.928571429	82.85714286
base	4	3.257	14	1	4260.00	3	1	540.813	32	0.97	0.789535056	1	85.72222222
bass	4	2.587	14	1.1	3800.00	3	1	612.613	31	0.97	0.315885056	0.666666667	58.83333333
bat	3	3.022	19	1	4958.00	3	1	583.706	34	1	0.295674667	0.8	52
batter	6	2.31	13	1.25	16187.00	4	2	724.485	33	0.97	0.349072571	0.142857143	51.92857143
bay	3	3.092	19	1	1200.00	2	1	706.176	34	1	0.733660824	1	82.35294118
bear	4	3.467	19	1	5638.00	3	1	565.765	34	1	0.540758353	0.352941176	72.11764706
beaver	6	2.393	5	1.75	11119.00	4	2	636.969	32	0.97	0.952503875	1	95.6875
beetle	6	2.025	0	1.95	6918.00	4	2	618	35	1	0.762103125	0.9375	82.8125
bent	4	2.567	17	1	7692.00	4	1	605.727	33	1	0.915715882	1	92.94117647
blaze	5	2.033	5	1.55	3807.00	4	1	584.618	34	0.97	0.821115313	1	84.6875
bleak	5	1.748	2	1.8	6742.00	4	1	701.833	24	0.77	0.954573929	1	96.07142857
blow	4	3.697	8	1.35	3335.00	3	1	619.118	34	1	0.323113357	0.428571429	62.5
bluff	5	2.502	1	1.85	2289.00	4	1	697.706	34	1	0.757417938	0.0625	84.1875
bob	3	3.669	16	1.05	1123.00	3	1	652.545	33	0.97	0.469302714	0.642857143	63.92857143
boil	4	2.483	7	1.5	2546.00	3	1	625.8	35	1	0.65514125	1	76.5625
bolt	4	2.547	11	1.4	2433.00	4	1	704.333	33	1	0.83383945	1	88.55
bongo	5	2.14	2	1.8	9650.00	5	2	690.258	31	0.89	0.809969563	0.0625	87.375
boom	4	3.047	10	1.3	2907.00	3	1	653.452	31	0.94	0.717446235	1	81.52941176
bop	3	1.978	15	1.25	1515.00	3	1	837.792	24	0.71	0.595962133	0.266666667	74.13333333
bore	4	2.598	14	1.05	8060.00	3	1	740.194	31	0.91	0.5564235	0.125	63.4375
boring	6	3.146	4	1.75	17206.00	5	2	671.147	34	1	0.805876625	0	86.25
