probe,associate,associatecont,Meaning_R1,Meaning_BestGuess_R1,Meaning_R2,Meaning_BestGuess_R2,Comment_R1,Comment_R2,Agreement,CertainAgreement,CertainOrUncertainAgreement
affect,plug,,?1,1,?1,1,,,1,,1
affect,touch,,1,1,1,1,,,1,1,1
affect,effort,,1,1,1,1,,,1,1,1
affect,hurt,,1,1,1,1,,,1,1,1
affect,response,,1,1,1,1,,,1,1,1
affect,emotion,,1,1,1,1,,,1,1,1
affect,result,,1,1,1,1,,,1,1,1
affect,harm,,1,1,1,1,,,1,1,1
affect,change,,1,1,1,1,,,1,1,1
affect,impact,,1,1,1,1,,,1,1,1
affect,influence,,1,1,1,1,,,1,1,1
affect,effect,,1,1,1,1,,,1,1,1
affect,cause,,1,1,1,1,,,1,1,1
affect,bother,,1,1,1,1,,,1,1,1
affect,feeling,,1,1,1,1,,,1,1,1
affect,defect,,1,1,?2,2,,,0,,0
alley,mug,,1,1,-,,,association not very clear,0,,0
alley,cat,,1,1,1,1,,,1,1,1
alley,walk,,1,1,1,1,,,1,1,1
alley,back,,1,1,1,1,,,1,1,1
alley,bowling,,1,1,1,1,,,1,1,1
alley,lane,,1,1,1,1,,,1,1,1
alley,trash,,1,1,1,1,,,1,1,1
alley,corridor,,1,1,1,1,,,1,1,1
alley,hall,,1,1,1,1,,,1,1,1
alley,can,,1,1,1,1,,,1,1,1
alley,way,,1,1,1,1,,,1,1,1
alley,dark,,1,1,1,1,,,1,1,1
alley,garbage,,1,1,1,1,,,1,1,1
alley,street,,1,1,1,1,,,1,1,1
alley,road,,1,1,1,1,,,1,1,1
alley,building,,1,1,1,1,,,1,1,1
alley,new york,,1,1,1,1,,,1,1,1
alley,black,,?2,2,1,1,,,0,,0
angle,protractor,,1,1,1,1,,,1,1,1
angle,obtuse,,1,1,1,1,,,1,1,1
angle,degree,,1,1,1,1,,,1,1,1
angle,degree,,1,1,1,1,,,1,1,1
angle,corner,,1,1,1,1,,,1,1,1
angle,line,,1,1,1,1,,,1,1,1
angle,right,,1,1,1,1,,,1,1,1
angle,triangle,,1,1,1,1,,,1,1,1
angle,wide,,1,1,1,1,,,1,1,1
angle,math,,1,1,1,1,,,1,1,1
angle,geometry,,1,1,1,1,,,1,1,1
angle,straight,,1,1,1,1,,,1,1,1
angle,degree,,1,1,1,1,,,1,1,1
angle,bend,,1,1,1,1,,,1,1,1
angle,square,,1,1,1,1,,,1,1,1
angle,curve,,1,1,1,1,,,1,1,1
arm,turf,,2,2,2,2,,,1,1,1
arm,leg,,1,1,1,1,,,1,1,1
arm,finger,,1,1,1,1,,,1,1,1
arm,hand,,1,1,1,1,,,1,1,1
arm,limb,,1,1,1,1,,,1,1,1
arm,chair,,1,1,1,1,,,1,1,1
ash,tree,,2,2,2,2,,,1,1,1
ash,cremation,,1,1,1,1,,,1,1,1
ash,wednesday,,1,1,1,1,,,1,1,1
ash,cigarette,,1,1,1,1,,,1,1,1
ash,smoke,,1,1,1,1,,,1,1,1
ash,fire,,1,1,1,1,,,1,1,1
ash,burn,,1,1,1,1,,,1,1,1
ash,cigar,,1,1,1,1,,,1,1,1
ash,dust,,1,1,1,1,,,1,1,1
ash,volcano,,1,1,1,1,,,1,1,1
ash,ashtray,,1,1,1,1,,,1,1,1
ash,death,,1,1,1,1,,,1,1,1
ban,away,,?1,1,1,1,,,0,,1
ban,shield,,1,1,1,1,,,1,1,1
ban,books,,1,1,1,1,,,1,1,1
ban,block,,1,1,1,1,,,1,1,1
ban,deodorant,,1,1,1,1,,,1,1,1
ban,never,,1,1,1,1,,,1,1,1
ban,discriminate,,1,1,1,1,,,1,1,1
ban,censor,,1,1,1,1,,,1,1,1
ban,forbid,,1,1,1,1,,,1,1,1
ban,prohibit,,1,1,1,1,,,1,1,1
ban,quit,,1,1,1,1,,,1,1,1
ban,prevent,,1,1,1,1,,,1,1,1
ban,allow,,1,1,1,1,,,1,1,1
ban,no,,1,1,1,1,,,1,1,1
ban,stop,,1,1,1,1,,,1,1,1
ban,abolish,,1,1,1,1,,,1,1,1
ban,remove,,1,1,1,1,,,1,1,1
ban,not allow,,1,1,1,1,,,1,1,1
ban,roll on,,1,1,1,1,,,1,1,1
band,bandaid,,2,2,2,2,,,1,1,1
band,song,,1,1,1,1,,,1,1,1
band,music,,1,1,1,1,,,1,1,1
band,clarinet,,1,1,1,1,,,1,1,1
band,flute,,1,1,1,1,,,1,1,1
band,rap,,1,1,1,1,,,1,1,1
band,group,,1,1,1,1,,,1,1,1
band,wagon,,1,1,1,1,,,1,1,1
band,rock,,1,1,1,1,,,1,1,1
band,instrument,,1,1,1,1,,,1,1,1
band,marching,,1,1,1,1,,,1,1,1
band,noise,,1,1,1,1,,,1,1,1
band,drum,,1,1,1,1,,,1,1,1
band,play,,1,1,1,1,,,1,1,1
bang,dead,,1,1,1,1,,,1,1,1
bang,crash,,1,1,1,1,,,1,1,1
bang,bong,,1,1,1,1,,,1,1,1
bang,smash,,1,1,1,1,,,1,1,1
bang,sex,,1,1,1,1,,,1,1,1
bang,drum,,1,1,1,1,,,1,1,1
bang,firework,,1,1,1,1,,,1,1,1
bang,big,,1,1,1,1,,,1,1,1
bang,knock,,1,1,1,1,,,1,1,1
bang,pow,,1,1,1,1,,,1,1,1
bang,hit,,1,1,1,1,,,1,1,1
bang,explosion,,1,1,1,1,,,1,1,1
bang,shoot,,1,1,1,1,,,1,1,1
bang,noise,,1,1,1,1,,,1,1,1
bang,gun,,1,1,1,1,,,1,1,1
