word,human.type.biggest,human.type.p1,human.type.p2,human.type.p3,human.type.p4,human.type.p5,human.type.pUnseen,human.token.biggest,human.token.p1,human.token.p2,human.token.p3,human.token.p4,human.token.p5,human.token.pUnseen,algo.type.biggest,algo.type.p1,algo.type.p2,algo.type.p3,algo.type.p4,algo.type.p5,algo.type.pUnseen,algo.token.biggest,algo.token.p1,algo.token.p2,algo.token.p3,algo.token.p4,algo.token.p5,algo.token.pUnseen
nap,90,90,0,0,0,0,9,98,98,0,0,0,0,1,72,72,27,0,0,0,0,94,94,5,0,0,0,0
fly,57,42,57,0,0,0,0,75,24,75,0,0,0,0,52,42,52,0,0,0,0,69,26,69,0,0,0,0
cop,93,6,93,0,0,0,0,91,8,91,0,0,0,0,62,18,62,18,0,0,0,82,5,82,11,0,0,0
trace,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,0,0,0,0,0,94,94,0,0,0,0,0
sheet,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
policy,78,78,14,0,0,0,7,87,87,9,0,0,0,2,85,85,14,0,0,0,0,90,90,9,0,0,0,0
console,52,52,47,0,0,0,0,56,43,56,0,0,0,0,47,47,41,0,0,0,0,50,41,50,0,0,0,0
reef,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
reel,100,100,0,0,0,0,0,100,100,0,0,0,0,0,72,72,27,0,0,0,0,95,95,4,0,0,0,0
refuse,88,88,11,0,0,0,0,93,93,6,0,0,0,0,72,72,11,0,0,0,0,48,48,6,0,0,0,0
press,100,100,0,0,0,0,0,100,100,0,0,0,0,0,94,94,5,0,0,0,0,95,95,4,0,0,0,0
painter,100,100,0,0,0,0,0,100,100,0,0,0,0,0,73,73,17,0,0,0,0,87,87,7,0,0,0,0
bluff,73,26,73,0,0,0,0,86,13,86,0,0,0,0,60,33,60,0,0,0,0,81,16,81,0,0,0,0
hop,100,100,0,0,0,0,0,100,100,0,0,0,0,0,50,50,50,0,0,0,0,78,78,21,0,0,0,0
stripe,91,91,8,0,0,0,0,96,96,3,0,0,0,0,86,86,13,0,0,0,0,91,91,8,0,0,0,0
rag,88,88,5,5,0,0,0,95,95,1,3,0,0,0,83,83,11,0,0,0,0,93,93,3,0,0,0,0
rose,100,100,0,0,0,0,0,100,100,0,0,0,0,0,70,70,20,0,0,0,0,88,88,8,0,0,0,0
bay,93,93,6,0,0,0,0,97,97,2,0,0,0,0,86,86,13,0,0,0,0,96,96,3,0,0,0,0
liver,100,100,0,0,0,0,0,100,100,0,0,0,0,0,83,83,11,0,0,0,0,88,88,9,0,0,0,0
