word,biggest,p1,p2,p3,p4,p5,pUnseen
a,100,100,0,0,0,0,0
affect,99,99,0,0,0,0,1
affected,97,97,3,0,0,0,0
alley,100,100,0,0,0,0,0
angle,100,100,0,0,0,0,0
arch,98,98,2,0,0,0,0
arm,97,97,3,0,0,0,0
ash,90,90,7,0,0,0,3
bail,100,100,0,0,0,0,0
ban,98,98,0,0,0,0,2
band,93,93,7,0,0,0,0
bang,100,100,0,0,0,0,0
bank,98,2,98,0,0,0,0
banker,97,97,3,0,0,0,0
bar,98,98,0,0,0,0,2
bark,70,70,30,0,0,0,0
barker,100,100,0,0,0,0,0
barrow,66,66,22,11,0,0,0
base,99,99,1,0,0,0,0
bass,75,75,25,0,0,0,0
bat,66,66,27,1,0,0,6
batter,75,5,20,75,0,0,0
bow,44,40,44,11,0,0,5
bowler,90,90,9,0,0,0,0
bay,45,43,45,0,0,0,12
bear,55,45,55,0,0,0,0
beaver,100,100,0,0,0,0,0
beetle,100,100,0,0,0,0,0
bent,93,93,0,0,0,0,7
blaze,85,85,10,1,0,0,2
bleak,100,100,0,0,0,0,0
blow,93,7,93,0,0,0,0
bluff,86,6,86,0,0,0,8
bob,69,10,17,1,0,0,69
boil,85,85,14,0,0,0,0
bolt,100,100,0,0,0,0,0
bongo,78,21,78,0,0,0,0
boom,90,90,10,0,0,0,0
bop,75,12,11,0,0,0,75
bore,79,3,79,0,16,0,2
boring,98,1,98,0,0,0,0
bossy,93,93,0,4,0,0,2
bound,77,77,3,4,16,0,0
bowl,80,80,20,0,0,0,0
calf,76,76,24,0,0,0,0
lead,87,87,13,0,0,0,0
bowman,100,100,0,0,0,0,0
box,97,97,3,0,0,0,0
boxing,98,2,98,0,0,0,0
brake,99,99,0,0,0,0,1
bride,100,100,0,0,0,0,0
bridge,99,99,1,0,0,0,0
brook,76,76,17,0,0,0,6
brush,90,90,10,0,0,0,0
buck,79,13,8,0,0,0,79
bud,95,95,4,0,0,0,0
buff,68,68,0,0,0,0,31
buffer,100,100,0,0,0,0,0
buffet,99,1,99,0,0,0,0
buggy,84,84,16,0,0,0,0
bull,99,99,1,0,0,0,0
bully,100,100,0,0,0,0,0
burden,100,100,0,0,0,0,0
bus,100,100,0,0,0,0,0
bush,97,97,0,0,0,0,2
bust,93,5,93,0,0,0,1
butt,91,91,2,1,0,0,0
cab,100,100,0,0,0,0,0
caddy,89,8,89,0,0,0,1
camp,100,100,0,0,0,0,0
cap,96,96,1,0,0,0,2
