word	dominance	signTest	biggest	Twilleyp1	Twilleyp2	Twilleyp3	U
compact	0.783118125	1	83.4375	0.36	0.16	0.1	2.11
chuck	0.621991857	0.928571429	70.64285714	0.17	0.14	0.03	2.08
bow	0.380111211	0.842105263	53.94736842	0.3	0.19	0.03	1.97
vice	0.756594714	0.928571429	85	0.15	0.21	0.14	1.9
fair	0.509374533	0.933333333	69.8	0.06	0.03	0.03	1.89
compound	0.431180944	0.944444444	65.83333333	0.13	0.09	0.1	1.8
plot	0.520722067	0.8	68	0.21	0.06	0.1	1.78
pound	0.328393765	0.235294118	50.52941176	0.11	0.06	0.13	1.7
tip	0.260863125	0.3125	46.5625	0.17	0.12	0.05	1.7
bay	0.733660824	1	82.35294118	0.16	0.13	0.07	1.61
base	0.789535056	1	85.72222222	0.32	0.07	0.06	1.58
mark	0.917428889	1	93	0.07	0.03	0.02	1.58
smelt	0.623479357	0.214285714	73.64285714	0.08	0.04	0.14	1.56
bolt	0.83383945	1	88.55	0.18	0.22	0.1	1.55
present	0.077380929	0.857142857	52.85714286	0.3	0.1	0.04	1.54
capital	0.858015118	1	90.88235294	0.35	0.06	0.07	1.49
press	0.896636647	1	91.41176471	0.1	0.06	0.12	1.48
rung	0.628917333	0.8	76.33333333	0.42	0.09	0.04	1.47
husky	0.3460472	0.866666667	63.33333333	0.46	0.08	0.07	1.46
blow	0.323113357	0.428571429	62.5	0.16	0.11	0.04	1.45
gag	0.675374563	0.9375	79.0625	0.2	0.16	0.03	1.43
bass	0.315885056	0.666666667	58.83333333	0.13	0.09	0.16	1.37
squash	0.455676267	0.933333333	68	0.13	0.06	0.06	1.36
pad	0.703317118	1	79.11764706	0.34	0.04	0.04	1.33
stall	0.276653053	0.631578947	59.57894737	0.26	0.16	0.07	1.32
pipe	0.794753056	1	88.33333333	0.32	0.06	0.03	1.31
tart	0.435222813	0.8125	65.9375	0.09	0.14	0.03	1.31
counter	0.465625063	0.625	60.3125	0.24	0.04	0.03	1.3
fit	0.467421579	1	69.26315789	0.06	0.08	0.02	1.29
match	0.358907188	0.3125	63.5625	0.22	0.03	0.06	1.29
hull	0.7157016	0.333333333	80.66666667	0.22	0.13	0.02	1.27
slug	0.521219	0.8125	71.5625	0.08	0.08	0.05	1.22
sole	0.466655611	0.444444444	66.94444444	0.41	0.17	0.03	1.22
tick	0.545041056	0.777777778	69.55555556	0.13	0.29	0.02	1.22
fly	0.249827667	0.888888889	58.61111111	0.11	0.11	0.01	1.2
bat	0.295674667	0.8	52	0.39	0.07	0.04	1.19
tap	0.383382938	0.875	62.5	0.22	0.25	0.02	1.19
post	0.179748813	0.5625	42.875	0.34	0.04	0.01	1.17
trace	0.924532471	1	93.94117647	0.14	0.04	0.02	1.16
chop	0.8202382	1	82	0.09	0.21	0.01	1.15
lap	0.472882429	0.857142857	63.21428571	0.17	0.03	0.03	1.13
sling	0.928796385	1	94.23076923	0.38	0.19	0.01	1.11
rock	0.142085895	0.842105263	54.47368421	0.28	0.08	0.01	1.1
slip	0.75943925	1	82.8125	0.32	0.07	0.03	1.09
card	0.891800588	1	91.47058824	0.2	0.1	0.01	1.08
clip	0.340936125	0.5625	61.5625	0.3	0.07	0.02	1.07
stake	0.413139389	0.722222222	66.11111111	0.08	0.05	0.08	1.04
port	0.363727688	0.8125	47.5	0.15	0.04	0.02	1.03
smack	0.626810176	0.058823529	73.47058824	0.33	0.14	0.01	1.03
chip	0.5720508	0.933333333	74.86666667	0.13	0.03	0.09	1.02
scale	0.523865	0	63.0625	0.45	0.03	0.01	1.02
pack	0.741469353	0.941176471	84.05882353	0.1	0.06	0.02	1.01
glare	0.550194867	1	73.66666667	0.13	0.25		1
hatch	0.548868278	1	69.11111111	0.27	0.15		1
maroon	0.674779071	0.928571429	79.07142857	0.17	0.12	0.01	1
pitcher	0.320728412	0.647058824	62.64705882	0.16	0.24		1
tag	0.3913065	0.571428571	65.35714286	0.05	0.16		1
cape	0.546789438	1	72.1875	0.16	0.23		0.99
rare	0.449431263	1	67.36842105	0.04	0.16		0.99
seal	0.392951526	0.789473684	64.21052632	0.08	0.08		0.99
shed	0.31688995	0.9	62	0.08	0.1		0.99
steer	0.805986375	0.875	85.625	0.21	0.11		0.99
strain	0.709791778	0.944444444	80.55555556	0.07	0.04	0.01	0.99
bridge	0.743553938	1	82.125	0.21	0.09	0.01	0.98
cricket	0.442616067	0.933333333	67.66666667	0.12	0.15		0.98
limp	0.330817857	0.857142857	62.14285714	0.15	0.04		0.98
pawn	0.270795385	0.769230769	60	0.15	0.29		0.98
punch	0.4373358	0.733333333	57.66666667	0.17	0.07	0.03	0.98
row	0.294290941	0.823529412	55.52941176	0.55	0.09	0.02	0.98
sow	0.699473077	0.692307692	80	0.35	0.09		0.97
bound	0.241176471	0.705882353	41.17647059	0.15	0.05	0.01	0.96
bowl	0.464453667	0.944444444	66.61111111	0.11	0.05	0.02	0.96
jerk	0.773636529	0.823529412	81.94117647	0.09	0.11		0.93
tear	0.282212941	0.529411765	60.88235294	0.3	0.12		0.93
band	0.269770778	1	59.72222222	0.31	0.14	0.01	0.92
invalid	0.621356125	0.125	76.5625	0.1	0.07		0.92
lead	0.407529833	1	65.33333333	0.36	0.18		0.92
pitch	0.850500947	1	88.15789474	0.23	0.02	0.02	0.92
temple	0.454944625	0.875	65.5	0.16	0.18		0.92
pupil	0.509831133	0.266666667	69.93333333	0.49	0.29		0.91
ring	0.135531067	0.933333333	54.33333333	0.14	0.11		0.91
console	0.543417471	0.764705882	70.88235294	0.12	0.07		0.9
yard	0.240299684	0.684210526	58.47368421	0.14	0.15		0.9
drill	0.838820684	1	84.68421053	0.13	0.08		0.89
palm	0.469849941	1	68.52941176	0.42	0.16		0.89
pool	0.399473333	0.833333333	64.5	0.32	0.08	0.01	0.89
count	0.839976118	1	87	0.26	0.16	0.02	0.88
lean	0.4265056	0.733333333	65.33333333	0.14	0.04		0.88
stalk	0.513255278	0.333333333	69.16666667	0.09	0.1		0.88
foil	0.5584562	0.2	70.66666667	0.28	0.02	0.02	0.87
lash	0.693284167	0.944444444	82.5	0.21	0.15	0.01	0.87
spade	0.594246188	0.4375	74.375	0.34	0.09		0.87
stable	0.419950267	0.933333333	66.53333333	0.41	0.05		0.87
cue	0.447682333	0.733333333	67.06666667	0.42	0.03		0.86
dove	0.420413625	0.75	66.5625	0.31	0.09	0.02	0.86
pat	0.841738	1	90	0.09	0.02	0.01	0.86
bark	0.35291	0.933333333	63	0.61	0.26		0.85
stud	0.515253765	0.235294118	70	0.16	0.04	0.03	0.84
hail	0.357693706	0.588235294	63.88235294	0.25	0.1		0.83
file	0.362550556	0.833333333	63.61111111	0.2	0.08	0.01	0.82
flush	0.504104167	0.944444444	59.44444444	0.77	0.06	0.02	0.82
reel	0.777058882	0.882352941	82.11764706	0.3	0.05	0.01	0.82
crab	0.515377063	0.9375	70.625	0.15	0.03	0.05	0.81
swallow	0.700039	1	80	0.09	0.21		0.81
quack	0.566277375	0.6875	75.0625	0.69	0.14		0.8
sack	0.595559167	1	72.22222222	0.26	0.05	0.02	0.8
peer	0.465811923	0.923076923	69.23076923	0.31	0.12		0.78
stern	0.517031412	1	70.17647059	0.15	0.1		0.77
vault	0.600051053	0.526315789	73.42105263	0.38	0.07		0.77
bent	0.915715882	1	92.94117647	0.18	0.05		0.76
grate	0.573416286	0.785714286	74.57142857	0.62	0.03	0.01	0.76
pot	0.332199714	0.714285714	62.14285714	0.17	0.06		0.76
refrain	0.410437667	1	66.66666667	0.37	0.07		0.75
refuse	0.662396188	1	78.75	0.24	0.14		0.75
pit	0.612861267	0.733333333	75	0.15	0.06		0.73
fan	0.170634933	0.733333333	56	0.21	0.05		0.72
wound	0.614949722	0.888888889	76	0.29	0.07		0.71
ground	0.578487	0.923076923	73.69230769	0.12	0.12		0.69
log	0.587499059	0.941176471	74.05882353	0.16	0.04	0.01	0.69
