word,NumMeanings,NumSenses,SingleWordOrPhrase,transitive_verb,intransitive_verb,adjective,noun,verb,plural_noun,adverb,suffix,interjection,prefix,preposition,abbreviation,NONE_EMPTYLINEINOTHERFILE,conjunction,pronoun,indefinite_article,auxiliary_verb,plural_pronoun,imperative_verb,definite_article
accept,1,6,singleword.,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abloom,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
archivist,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pollutant,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutlery,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scourge,1,4,singleword.,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cotillion,2,4,singleword.,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oak_apple,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gybe,1,2,singleword.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gilding,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bastardize,1,3,singleword.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal_tar,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discernible,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar_Khayyam,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nice,1,6,singleword.,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
track_lighting,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hammy,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cough,2,12,singleword.,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
