"","NumInterp","verbInterp","nounInterp","coltN","OLD","nPhon","nSyll","Length","LgSUBTLWF","Ortho_N","BG_Sum","NumMeanings","NumSenses","eDom_Biggest","algorithm.FAN_Biggest","human.FAN_Biggest","algorithm.SUBTL_Biggest","Wikipedia_Biggest"
"1",6,3,1,1,2.45,5,2,6,2.755,1,3647,2,4,76,90,100,96,100
"2",2,0,6,5,1.55,3,2,5,2.92,3,8333,2,6,98,80,100,68,82
"3",8,5,6,5,1.3,4,2,5,2.882,2,11254,2,11,79,89,100,94,100
"4",8,4,6,16,1,2,1,3,3.523,5,3548,2,10,71,100,98,77,62
"5",4,0,5,11,1,2,1,3,2.672,4,2747,2,5,87,55,98,62,72
"6",9,1,4,35,1,3,1,3,2.207,17,4260,3,5,85,63,100,62,76
"7",14,3,4,19,1,4,1,4,3.435,14,6022,2,7,60,92,97,67,98
"8",12,7,5,23,1,3,1,4,3.009,13,8179,2,13,66,93,100,65,96
"9",18,6,6,21,1,4,1,4,3.637,16,4546,2,12,78,98,100,73,74
"10",2,0,4,14,1.2,6,2,6,2.387,10,11606,3,4,92,91,97,74,95
"11",18,4,7,35,1,3,1,3,3.642,15,3742,2,12,94,100,100,89,100
"12",9,6,4,25,1,3,1,4,2.449,14,4012,2,10,63,77,77,79,70
"13",29,2,5,18,1,3,1,4,3.257,14,4260,2,9,86,96,93,86,100
"14",9,0,4,23,1,3,1,4,2.587,14,3800,3,5,59,44,58,78,98
"15",10,3,3,39,1,3,1,3,3.022,19,4958,3,6,52,52,66,63,64
"16",10,0,3,34,1,2,1,3,3.092,19,1200,2,3,82,96,97,78,83
"17",15,8,4,21,1,3,1,4,3.467,19,5638,2,13,72,74,95,76,69
"18",8,0,4,10,1.4,5,2,6,2.393,5,11119,2,4,96,100,100,94,100
"19",6,3,3,1,1.9,4,2,6,2.025,0,6918,3,7,83,81,81,60,96
"20",9,1,4,27,1,4,1,4,2.567,17,7692,2,7,93,72,100,93,95
"21",10,6,5,6,1.4,4,1,5,2.033,5,3807,3,11,85,96,96,92,87
"22",29,12,5,11,1.05,3,1,4,3.697,8,3335,2,17,62,83,92,90,94
"23",7,3,3,1,1.8,4,1,5,2.502,1,2289,2,8,84,81,86,99,52
"24",7,7,2,8,1.4,3,1,4,2.483,7,2546,2,9,77,100,100,90,98
"25",16,8,6,17,1,4,1,4,2.547,11,2433,2,15,89,100,100,97,100
"26",10,5,7,12,1.05,3,1,4,3.047,10,2907,2,12,82,78,100,52,81
"27",3,0,3,10,1.35,5,2,6,3.146,4,17206,2,4,86,55,100,77,100
"28",17,4,4,7,1.45,4,1,5,2.974,7,6057,4,13,41,51,85,44,59
"29",14,11,7,30,1,2,1,3,3.015,18,1450,3,20,54,84,82,55,48
"30",10,5,9,10,1.25,3,1,4,3.039,9,1535,2,14,67,70,70,73,96
"31",13,7,9,23,1,4,1,3,3.661,10,860,3,16,63,84,94,68,96
"32",2,0,4,5,1.7,6,2,6,2.569,3,11819,2,4,88,48,94,52,82
"33",6,3,4,5,1.45,4,1,5,2.486,4,4914,3,7,96,98,100,70,95
"34",3,0,2,4,1.45,4,1,5,3.092,3,6896,2,2,97,100,100,77,96
"35",12,1,6,2,1.6,4,1,6,3.368,2,5644,2,7,82,96,96,81,99
"36",2,1,1,4,1.65,4,1,5,2.021,3,3873,2,2,94,96,96,78,100
